alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_nom_fr,"Energie, N x facteur Jones, avec fibres  (kJ/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),AG saturés (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Vitamine C (mg/100 g)
,,Dessert (aliment moyen),,"45,4","4,63","36,6","12,9","23,7","5,18","1,54","56,7","0,38","1,37"
entrées et plats composés,salades composées et crudités,"Salade de thon et légumes, appertisée",-,"76,5","9,15","7,74","4,7","3,08","0,56","2,7","19,2","1,11","2,75"
entrées et plats composés,salades composées et crudités,"Salade composée avec viande ou poisson, appertisée",-,"76,7","8,06","6,4","5,3","1,9","0,16",2,"15,2","0,95",0
entrées et plats composés,salades composées et crudités,"Champignons à la grecque, appertisés",-,"85,2","2,08","3,95","3,55","2,38","0,23","2,35","0,11","1,26","6,67"
entrées et plats composés,salades composées et crudités,"Salade de pommes de terre, fait maison",-,76,"2,68","9,9","8,2",0,"1,43","1,3",68,"1,32",10
entrées et plats composés,salades composées et crudités,"Taboulé ou Salade de couscous, préemballé",753,"60,3","4,88","23,7","6,7","4,9","0,67","2,5","0,1",1,"6,27"
entrées et plats composés,salades composées et crudités,"Salade de pomme de terre à la piémontaise, préemballée",542,"75,8","4,5","8,87","8,3","1,2","0,82","< 0,5","29,6","1,08","21,6"
entrées et plats composés,salades composées et crudités,"Salade de riz, appertisée",-,"72,5","5,13","16,1","4,35",1,"0,53","1,7","6,5","1,1","4,48"
entrées et plats composés,salades composées et crudités,"Salade de pâtes, végétarienne",-,"72,6","5,7","13,7","8,1","2,3","2,37","1,7",6,"1,04",21
entrées et plats composés,salades composées et crudités,"Crudité, sans assaisonnement (aliment moyen)",125,"93,2","0,94","3,07","0,7","2,27","0,12","1,51","0,076","0,031","12,2"
entrées et plats composés,salades composées et crudités,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",-,"70,5","5,19",14,"9,94","2,16","1,74","1,98","11,3","0,95","12,3"
entrées et plats composés,salades composées et crudités,"Macédoine de légumes en salade, avec sauce, préemballée",-,"78,3","2,81",7,"9,3","2,3","0,7","4,11",0,"1,04",0
entrées et plats composés,salades composées et crudités,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",-,"71,8","8,13","4,88",10,"1,71","2,36",2,"40,7","0,75","1,11"
entrées et plats composés,salades composées et crudités,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",699,"65,5","3,79","17,4","8,3","4,61","0,92","3,3",0,"0,77","< 0,5"
entrées et plats composés,salades composées et crudités,"Carottes râpées, avec sauce, préemballées",-,"84,7","0,98","6,01",5,"5,2","0,43","3,64",0,"0,67",0
entrées et plats composés,salades composées et crudités,"Salade de betterave, avec sauce, préemballée",-,"83,5","1,29","7,45","4,94","5,3","0,37","2,66",0,"0,7",5
entrées et plats composés,salades composées et crudités,"Salade de chou ou Coleslaw, avec sauce, préemballée",435,"80,4","0,94","5,78","8,1","4,72","0,63",3,0,"0,88","21,6"
entrées et plats composés,salades composées et crudités,"Salade de concombre à la crème/fromage blanc, préemballée",-,0,"1,1","1,97","11,3","1,39","1,35","1,48",0,"1,07",0
entrées et plats composés,salades composées et crudités,"Salade de lentilles et saucisse fumée, préemballée",-,0,7,"8,9","11,8","0,9","0,9","3,6",0,"0,89",0
entrées et plats composés,salades composées et crudités,"Salade grecque, avec sauce, préemballée",-,0,2,"1,4","7,1","1,4","2,7",2,0,"1,04",0
entrées et plats composés,salades composées et crudités,"Salade de riz à la niçoise, avec sauce, préemballée",-,"73,7","4,45","15,8","6,08","1,35","0,63","1,5",0,"0,76",0
entrées et plats composés,salades composées et crudités,"Taboulé ou Salade de couscous au poulet, préemballé",-,"62,6","6,4","20,6","7,45","2,48","0,86","2,02","8,24","1,05","< 0,5"
entrées et plats composés,soupes,"Soupe aux lentilles, préemballée à réchauffer",232,"85,8","3,74","6,6","1,12","0,7","0,45","1,8",3,"0,36","1,7"
entrées et plats composés,soupes,"Soupe à la volaille et aux légumes, préemballée à réchauffer",129,0,"3,09","2,6","0,8","1,2","0,3","0,4",0,"1,75",0
entrées et plats composés,soupes,"Soupe aux légumes variés, préemballée à réchauffer",165,"90,2","0,76","5,05","1,56","1,72","0,55","1,1","3,7","0,69","5,75"
entrées et plats composés,soupes,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",179,"89,4","3,45","2,88","1,79","0,9","0,58","0,69",30,"0,86","< 0,5"
entrées et plats composés,soupes,"Soupe aux légumes variés, déshydratée reconstituée",144,"90,9","0,86","4,43","1,22","1,07","0,39","1,16","2,12","0,69","3,28"
entrées et plats composés,soupes,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",155,"90,8","0,79","4,46","1,51","0,81","0,6","1,28","4,73","0,73","7,95"
entrées et plats composés,soupes,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",129,"93,8","1,3","3,86",1,"0,77","0,49","0,56",5,"0,82",0
entrées et plats composés,soupes,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer","19,9","98,1","0,2","0,1","0,4",0,"0,2",0,0,"1,08",0
entrées et plats composés,soupes,"Soupe à l'oignon, préemballée à réchauffer",169,"92,7","1,35","4,93","1,4","1,5","0,55","1,34",0,"0,79","0,5"
