POPULATION,NOIND,periode_reference,lieu_repas_midi,collation_freq,collation_matin_freq,distributeur_freq,restaurationrapide_freq,table_beurre,etiquette_freq,pomme_crue_epluche,conso_riz_pates,conso_plats_faits_maison
Pop2 Individu,110100101,4,2.0,1.0,6.0,6.0,5.0,0.0,3.0,0.0,0.0,5.0
Pop2 Individu,110100701,4,1.0,5.0,6.0,6.0,6.0,0.0,2.0,0.0,0.0,5.0
Pop2 Individu,110100801,4,3.0,6.0,6.0,3.0,6.0,0.0,4.0,1.0,0.0,5.0
Pop2 Individu,110101201,4,2.0,3.0,6.0,4.0,6.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110101401,4,1.0,4.0,6.0,6.0,7.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110101601,4,1.0,5.0,6.0,7.0,6.0,0.0,1.0,1.0,0.0,5.0
Pop2 Individu,110101901,4,1.0,4.0,6.0,6.0,5.0,1.0,2.0,1.0,0.0,5.0
Pop2 Individu,110300301,4,1.0,7.0,6.0,3.0,7.0,1.0,1.0,0.0,0.0,5.0
Pop2 Individu,110300501,4,1.0,5.0,6.0,5.0,7.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110600101,4,1.0,1.0,6.0,6.0,7.0,0.0,4.0,1.0,0.0,5.0
Pop2 Individu,110600401,4,1.0,6.0,6.0,6.0,5.0,0.0,2.0,0.0,0.0,5.0
Pop2 Individu,110601301,4,2.0,3.0,6.0,3.0,6.0,0.0,4.0,1.0,0.0,5.0
Pop2 Individu,110602001,4,1.0,3.0,6.0,5.0,6.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110602701,4,2.0,2.0,6.0,5.0,6.0,0.0,2.0,0.0,0.0,5.0
Pop2 Individu,110603001,4,1.0,3.0,6.0,6.0,7.0,0.0,1.0,0.0,0.0,5.0
Pop2 Individu,110603301,4,1.0,6.0,6.0,6.0,7.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110604501,4,1.0,6.0,6.0,5.0,5.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110604901,4,1.0,5.0,6.0,6.0,6.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,110605101,4,1.0,5.0,6.0,6.0,7.0,0.0,3.0,1.0,0.0,5.0
Pop2 Individu,110606901,4,1.0,3.0,6.0,5.0,6.0,0.0,3.0,0.0,0.0,5.0
Pop2 Individu,110607301,4,3.0,3.0,6.0,6.0,4.0,1.0,2.0,0.0,0.0,5.0
Pop2 Individu,110702001,4,1.0,5.0,6.0,6.0,7.0,1.0,2.0,1.0,0.0,5.0
Pop2 Individu,110702201,4,2.0,3.0,6.0,7.0,5.0,1.0,3.0,1.0,0.0,5.0
Pop2 Individu,110900301,4,3.0,3.0,6.0,6.0,7.0,0.0,3.0,1.0,0.0,5.0
Pop2 Individu,111200101,4,1.0,4.0,6.0,6.0,6.0,1.0,2.0,1.0,0.0,5.0
Pop2 Individu,111200301,4,1.0,3.0,6.0,6.0,7.0,0.0,3.0,0.0,0.0,5.0
Pop2 Individu,111200601,4,1.0,5.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,5.0
Pop2 Individu,111200701,4,3.0,6.0,6.0,6.0,7.0,0.0,3.0,0.0,0.0,5.0
Pop2 Individu,111200801,4,1.0,2.0,6.0,6.0,6.0,0.0,2.0,0.0,0.0,5.0
Pop2 Individu,111201301,4,1.0,6.0,6.0,6.0,8.0,0.0,5.0,1.0,0.0,5.0
Pop2 Individu,111202201,4,2.0,3.0,6.0,6.0,6.0,0.0,3.0,1.0,0.0,5.0
Pop2 Individu,111203101,4,3.0,3.0,6.0,5.0,6.0,0.0,2.0,0.0,0.0,5.0
Pop2 Individu,111203901,4,1.0,3.0,6.0,6.0,7.0,0.0,1.0,0.0,0.0,5.0
Pop2 Individu,111300401,4,2.0,2.0,6.0,3.0,5.0,0.0,1.0,1.0,0.0,5.0
Pop2 Individu,111300701,4,1.0,2.0,6.0,6.0,6.0,0.0,3.0,1.0,0.0,5.0
Pop2 Individu,111300901,4,1.0,7.0,6.0,6.0,7.0,0.0,2.0,1.0,0.0,5.0
Pop2 Individu,111301301,4,1.0,6.0,6.0,6.0,7.0,0.0,2.0,0.0,0.0,5.0
