POPULATION,NOIND,transport_personnel,tv_duree,ordi_duree,travail_duree,nap,profil_activite,sedentarite,transport_score,sedentarite_duree
Pop1 Individu,120100401,,1.6428571,0.0,,2.0,2.0,0.0,,
Pop1 Individu,120100501,,0.82142854,0.57142854,,1.0,2.0,0.0,,
Pop1 Individu,120100601,,1.1428571,0.57142854,,2.0,2.0,0.0,,
Pop1 Individu,120100801,,1.0,0.35714287,,2.0,2.0,0.0,,
Pop1 Individu,120100901,,2.5714288,0.28571427,,2.0,1.0,1.0,,
Pop1 Individu,120101001,,1.4285715,1.2142856,,2.0,2.0,0.0,,
Pop1 Individu,120101201,,1.1428571,0.78571427,,2.0,2.0,0.0,,
Pop1 Individu,120101301,,1.5,0.25,,2.0,1.0,1.0,,
Pop1 Individu,120200401,,1.0,2.7261903,,1.0,1.0,1.0,,
Pop1 Individu,120300101,,4.0,5.5714283,,3.0,3.0,2.0,,
Pop1 Individu,120600901,,4.8571424,0.2142857,,3.0,3.0,1.0,,
Pop1 Individu,120601501,,0.59523809,7.1428576,,3.0,3.0,2.0,,
Pop1 Individu,120601801,,2.5,2.0,,1.0,1.0,1.0,,
Pop1 Individu,120602501,,2.0,0.0,,1.0,2.0,0.0,,
Pop1 Individu,120602601,,7.6666665,0.83333331,,2.0,1.0,2.0,,
Pop1 Individu,120603301,,2.1428571,0.0,,3.0,4.0,0.0,,
Pop1 Individu,120603601,,2.1428571,0.0,,1.0,2.0,0.0,,
Pop1 Individu,120605001,,1.0,0.35714287,,1.0,2.0,0.0,,
Pop1 Individu,120605101,,0.0,4.5714283,,2.0,1.0,1.0,,
Pop1 Individu,120605201,,0.5,1.5,,3.0,3.0,1.0,,
Pop1 Individu,120605901,,3.0,0.0,,1.0,1.0,1.0,,
Pop1 Individu,120606501,,1.8571429,0.0,,3.0,4.0,0.0,,
Pop1 Individu,120700101,,0.78571427,0.0,,2.0,2.0,0.0,,
Pop1 Individu,120700301,,2.0,0.25,,1.0,2.0,0.0,,
Pop1 Individu,120700501,,2.0,2.0714285,,2.0,1.0,1.0,,
Pop1 Individu,120700601,,1.3333334,0.071428567,,2.0,2.0,0.0,,
Pop1 Individu,120700701,,0.0,0.28571427,,2.0,2.0,0.0,,
Pop1 Individu,120900401,,4.4285717,0.0,,2.0,1.0,1.0,,
Pop1 Individu,121100201,,0.57142854,0.38095239,,1.0,2.0,0.0,,
Pop1 Individu,121100501,,1.9285715,0.28571427,,2.0,2.0,0.0,,
Pop1 Individu,121101901,,1.5,0.25,,2.0,1.0,1.0,,
Pop1 Individu,121102201,,1.7142856,0.0,,3.0,4.0,0.0,,
Pop1 Individu,121102401,,2.2857141,0.0,,3.0,3.0,1.0,,
Pop1 Individu,121200101,,1.6428571,0.0,,2.0,2.0,0.0,,
Pop1 Individu,121200201,,1.5714285,0.60714281,,2.0,2.0,0.0,,
Pop1 Individu,121200301,,1.4642856,0.0,,2.0,2.0,0.0,,
Pop1 Individu,121200401,,2.7142859,1.0714285,,1.0,1.0,1.0,,
Pop1 Individu,121200601,,2.0,0.0,,1.0,1.0,1.0,,
Pop1 Individu,121201001,,1.5,0.0,,2.0,2.0,0.0,,
Pop1 Individu,121201201,,1.1428571,1.0,,1.0,2.0,0.0,,
Pop1 Individu,121201301,,0.0,3.5714288,,1.0,1.0,1.0,,
Pop1 Individu,121201501,,2.0,2.0,,1.0,1.0,1.0,,
Pop1 Individu,121201801,,2.1428571,0.0,,1.0,2.0,0.0,,
Pop1 Individu,121202201,,1.5,0.5,,3.0,3.0,1.0,,
Pop1 Individu,121203501,,2.3571429,1.1428571,,2.0,1.0,1.0,,
Pop1 Individu,121300301,,1.2142856,0.0,,1.0,2.0,0.0,,
Pop1 Individu,121300401,,1.7142856,0.35714287,,2.0,2.0,0.0,,
Pop1 Individu,121300701,,2.3571429,0.85714281,,2.0,1.0,1.0,,
Pop1 Individu,121301101,,1.6428571,0.85714281,,2.0,2.0,0.0,,
Pop1 Individu,121301201,,1.5714285,0.0,,3.0,4.0,0.0,,
Pop1 Individu,121301501,,0.25,2.2857141,,3.0,4.0,0.0,,
Pop1 Individu,121302201,,1.0,4.2857141,,1.0,1.0,1.0,,
Pop1 Individu,121302301,,2.5714288,1.0,,1.0,1.0,2.0,,
Pop1 Individu,121302701,,0.25,0.16666667,,3.0,4.0,0.0,,
Pop1 Individu,121303701,,1.5714285,2.0,,1.0,1.0,1.0,,
Pop1 Individu,121303801,,2.4285712,0.0,,3.0,4.0,0.0,,
Pop1 Individu,121303901,,0.57142854,0.4285714,,2.0,2.0,0.0,,
Pop1 Individu,121304201,,1.7142856,0.80952382,,1.0,1.0,1.0,,
Pop1 Individu,121305401,,1.5,1.5,,3.0,3.0,1.0,,
Pop1 Individu,121305901,,1.5,1.0,,2.0,1.0,1.0,,
Pop1 Individu,121400201,,0.14285713,0.25,,3.0,4.0,0.0,,
